"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"21391",725.200704869229,1.35333661424623,0.209055401306855,6.54894272468723,5.79458480109715e-11,6.30770340848402e-09
"258469",6.66691874788335,0.472454296302143,0.249650905315661,6.54207875405484,6.06695372240873e-11,6.57347381225634e-09
"666661",901.66883920235,1.33374349542708,0.204777585367417,6.5399215812082,6.15510987229593e-11,6.60752463019049e-09
"68473",859.957001240091,1.48149754304755,0.239801844575751,6.54030107918596,6.13951080998131e-11,6.60752463019049e-09
"207839",359.441250037614,1.56405438908847,0.251122939918585,6.53540684019806,6.34368590409973e-11,6.77872307963317e-09
"20397",482.659640529938,-1.50686564715154,0.240195042884751,-6.52380868503791,6.85441295586168e-11,7.25788862758172e-09
"171259",5.82153266729877,0.462705078194152,0.237827645796927,6.52389619625155,6.85041280925565e-11,7.25788862758172e-09
"259069",3.70445587778225,0.234817227967318,0.2028275614185,6.51200976465858,7.41518976778854e-11,7.81614686156715e-09
"75723",180.2080170465,1.82011965903354,0.308468015597302,6.48550052429898,8.84376923123822e-11,9.2799821730493e-09
"27361",1010.73632491452,-1.33726116134364,0.207153415427343,-6.47257297390906,9.63479624785545e-11,1.006468962304e-08
"18405",135.820404547377,-1.94260623303964,0.329344792185675,-6.47154442821322,9.70062261116638e-11,1.00882144521036e-08
"338349",354.030178044156,-1.70338593024339,0.269416431082059,-6.45728081311025,1.06600983634825e-10,1.10367551723256e-08
"17395",1388.71186788351,-1.30318845885572,0.208764698689679,-6.45310640159363,1.09580363420198e-10,1.12950202029801e-08
"432582",1805.73139270946,-1.18262433358317,0.189947501098345,-6.42446647503803,1.32332820680283e-10,1.35801456288422e-08
"494448",459.135437224888,-1.49771795351758,0.24152838511475,-6.39394477967303,1.61659830907503e-10,1.65169550920626e-08
"243420",49.5831309070641,-2.42385201997752,0.370405275092859,-6.3843541431061,1.7212234663686e-10,1.75091269209854e-08
"66082",88.2305901253242,1.82729402538013,0.339782745769604,6.37430203028741,1.83798061474941e-10,1.86155471393859e-08
"383753",2.95165776403328,-0.146452853277076,0.186946565713883,-6.37121629845725,1.87534935230644e-10,1.89118022346227e-08
"66684",870.258829327737,-1.39775675173989,0.229760984265575,-6.37014273079961,1.88852368048371e-10,1.89625685934776e-08
"71586",1146.67868983635,-1.35639423915829,0.217644987985691,-6.36320730526975,1.97583724499272e-10,1.97541324558392e-08
"723962",2.74305528467306,-0.120316013301805,0.171773294013054,-6.36175529671823,1.99461037699298e-10,1.98566020222442e-08
"73723",1696.80511634687,-1.10028093721987,0.173693462096619,-6.35605117447336,2.07006088923645e-10,2.05200291126652e-08
"17523",2436.14517072696,1.20220842771302,0.194674013890803,6.35265066514197,2.11635968575251e-10,2.08114091742346e-08
"233186",164.180110992435,1.83512476915567,0.326438819449665,6.3525806855637,2.11732301965813e-10,2.08114091742346e-08
